Epoch,Loss,Validation Loss,Accuracy,Validation Accuracy
1,0.4650534391403198,0.18291601538658142,0.884933352470398,0.9509000182151794
2,0.14256417751312256,0.1036418229341507,0.9611833095550537,0.9715999960899353
3,0.08845553547143936,0.07516427338123322,0.9771166443824768,0.9782999753952026
4,0.06408635526895523,0.05973131209611893,0.9831333160400391,0.9818999767303467
5,0.05034228414297104,0.05258125439286232,0.9869333505630493,0.9835000038146973
6,0.040719177573919296,0.04997674375772476,0.9897333383560181,0.9840999841690063
7,0.03405626863241196,0.047694914042949677,0.9913833141326904,0.9836000204086304
