Epoch,Loss,Validation Loss,Accuracy,Validation Accuracy
1,0.3567212224006653,0.14557577669620514,0.9053000211715698,0.9592999815940857
2,0.11132209748029709,0.08388620615005493,0.9698666930198669,0.9750000238418579
3,0.06917481124401093,0.06485246121883392,0.9815166592597961,0.9786999821662903
4,0.050319649279117584,0.0509638637304306,0.9862833619117737,0.982699990272522
5,0.03809882700443268,0.049425799399614334,0.9898666739463806,0.9830999970436096
6,0.030003810301423073,0.04416240379214287,0.9922166466712952,0.9842000007629395
7,0.022860562428832054,0.04385192319750786,0.9947666525840759,0.9840999841690063
8,0.018391616642475128,0.04069126769900322,0.9958333373069763,0.9861999750137329
9,0.014079379849135876,0.04013548791408539,0.9971666932106018,0.98580002784729
10,0.010939870029687881,0.04096789285540581,0.998033344745636,0.9855999946594238
