Epoch,Loss,Validation Loss,Accuracy,Validation Accuracy
1,0.3549695312976837,0.13109849393367767,0.9070666432380676,0.9645000100135803
2,0.10419018566608429,0.07756448537111282,0.9716833233833313,0.9771999716758728
3,0.06877614557743073,0.05982667952775955,0.981166660785675,0.9807000160217285
4,0.05103614926338196,0.054645366966724396,0.9858999848365784,0.9825999736785889
5,0.03934456780552864,0.0460599921643734,0.9895833134651184,0.9850000143051147
6,0.030789373442530632,0.04272465035319328,0.9922833442687988,0.9848999977111816
7,0.024702467024326324,0.04101426526904106,0.9940999746322632,0.9861999750137329
8,0.01906251162290573,0.04292408376932144,0.9958166480064392,0.9855999946594238
9,0.015880055725574493,0.041493009775877,0.9964333176612854,0.9858999848365784
10,0.011636362411081791,0.037374429404735565,0.9979000091552734,0.9868999719619751
11,0.00938027910888195,0.03894571214914322,0.9983333349227905,0.9873999953269958
