,loss,accuracy,val_loss,val_accuracy
0,0.3455233871936798,0.9099500179290771,0.14566798508167267,0.9591000080108643
1,0.11259250342845917,0.9692333340644836,0.08361118286848068,0.9768999814987183
2,0.0694575160741806,0.9814500212669373,0.0630551278591156,0.9797000288963318
3,0.05084928870201111,0.9860666394233704,0.05458837375044823,0.9822999835014343
4,0.0390932522714138,0.9897833466529846,0.045213595032691956,0.9840999841690063
5,0.030783291906118393,0.9924666881561279,0.04439764469861984,0.9843999743461609
6,0.023865370079874992,0.9942499995231628,0.042093828320503235,0.9864000082015991
7,0.019026855006814003,0.9955166578292847,0.039785321801900864,0.9860000014305115
8,0.015201414003968239,0.9968500137329102,0.03927247226238251,0.9868000149726868
9,0.011821593157947063,0.997783362865448,0.03739862143993378,0.9872000217437744
10,0.008781087584793568,0.9987499713897705,0.041315365582704544,0.986299991607666
